applicant_info_id,applicant_info_full_name,applicant_info_first_name,applicant_info_last_name,applicant_info_email,applicant_info_ssn,applicant_info_ip_address,applicant_info_gender,applicant_info_dob,applicant_info_zip_code,financials_annual_income,financials_credit_history_months,financials_debt_to_income,financials_savings_balance,spending_behavior_adult_entertainment,spending_behavior_alcohol,spending_behavior_dining,spending_behavior_education,spending_behavior_entertainment,spending_behavior_fitness,spending_behavior_gambling,spending_behavior_groceries,spending_behavior_healthcare,spending_behavior_insurance,spending_behavior_rent,spending_behavior_shopping,spending_behavior_transportation,spending_behavior_travel,spending_behavior_utilities,decision_loan_approved,decision_rejection_reason,decision_interest_rate,decision_approved_amount,decision_loan_purpose,decision_notes,processing_timestamp,applicant_info.ssn_hashed,applicant_info.email_hashed,applicant_info.full_name_hashed,applicant_info.ip_address_hashed,applicant_info.zip_code_hashed,financials_annual_income_flagged,financials_savings_balance_flagged,processing_timestamp_flagged
app_200,Jerry Smith,Jerry,Smith,jerry.smith17@hotmail.com,596-64-4340,192.168.48.155,Male,2001-03-09,10036,73000.0,23,0.2,31212,0,247,0,0,0,0,0,0,0,0,790,480,0,0,0,False,algorithm_risk_score,,,Not Specified,,2024-01-15 00:00:00,9196537eb3af63e06878de29f8e1c7d3897791fe6032e140dabff74a262ff12c,43816fd1eb76c24869e6e312699cda3d95ff057122fbfb847bf0b4af9d65d4b9,070c9881585996a6be0283cff64d93979b3a82736e602eb0c1d0ca34cd8c7dd9,1a53cf806eb581ddf8c2d4c89004f41bc8ddebc8bb1d95946402df23c45bb957,76f3b4768adbfaf83d669ad1cd40455ecc0b73fc528751c7ac0df1f478b2a04e,False,False,False
app_037,Brandon Walker,Brandon,Walker,brandon.walker2@yahoo.com,425-69-4784,10.1.102.112,Male,1992-03-31,10032,78000.0,51,0.18,17915,0,0,96,0,0,0,0,0,243,0,608,0,0,0,0,False,algorithm_risk_score,,,Not Specified,,,f7e04e392a2676c1008fc9dc21750b3176c57c5eed8809390749ebf1ce96006d,5f4a8dd0e06f28d96333869faf36bc4b38ba9727c68526e1f58056c27c6e0429,5818e748b1730f6f2e23c72eb1db5b19a09edf7207351e2e7376c05b16b04e10,5052f60bca9b28cd57040fafe2b807c48f5b89cdec7de4197f9bdc404cff64bf,9aeb2ffabe21f6cda9a28c68ad36a60bb8f6c4dab77f92d257e0138f5b71f2e1,False,False,False
app_215,Scott Moore,Scott,Moore,scott.moore94@mail.com,370-78-5178,10.240.193.250,Male,1989-10-24,10075,61000.0,41,0.21,37909,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,True,N/A - Approved,3.7,59000.0,vacation,,,3263f19e841649667a994a137d9d2444feae15e1b50417ef92c94e98a97212ae,63be22cf9717bb8f86a2800acae73c429d08b8246ea6a301bf9f7fb59897f584,eb51c1b818060437741f3718afcc89d6aa27c7c309a7c703e24087cc58847aac,70b16bef8bd03b719caed47d421d62e50f7dca1611c65a4d5167cd61ef4010e5,8b61af377e702693b0132c567abff9f4ed3561a9bef653f8f008b754e54cf1ae,False,False,False
app_024,Thomas Lee,Thomas,Lee,thomas.lee6@protonmail.com,194-35-1833,192.168.175.67,Male,1983-04-25,10077,103000.0,70,0.35,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0,0,True,N/A - Approved,4.3,34000.0,Not Specified,,,496b136660dfbe2bf483a50420f917e89e49e666a0ae795ae2d0754886d2ff90,807aef6fb2d50f66c53a38597b8e437b955923c86365476a6eca579f04aee454,a5a462d3cab268cf103c86d825b6e69a5c01756634f2816de303997393a74117,4b9254f2f85615e28030adae34ca75cdc8142734b5a71a6d821f48e51f60ec06,a2df01bca3f840be0b1acf9519d12de549621cc55f0295de9f0e2231f9ad00ee,False,False,False
app_184,Brian Rodriguez,Brian,Rodriguez,brian.rodriguez86@aol.com,480-41-2475,172.29.125.105,Male,1999-05-21,10080,57000.0,14,0.23,31763,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,False,algorithm_risk_score,,,Not Specified,,2024-01-15 00:00:00,5f688fde89897de7828b5eddf85be3ab066b2d9a5066daa09c88e5e7eb36e56a,6bead4f1f8650f583ff89c06a5697b6aab4a8c20db519cebd7a200b73dc798a4,6e8ca012acc01ca28be9c880465638cfd807b16db3c9406543c479bf45ca3749,30cba18de84a4676aa12c373ad4c763811fec8cb33e75acea247941dc36c1de3,5d67576ee6183f80b3418a1cd5f3396821e3d5a026726f4a500557cea25edc0b,False,False,False
app_275,Maria Miller,Maria,Miller,maria.miller67@outlook.com,417-25-4912,172.25.58.70,Female,,10019,110000.0,33,0.05,49933,0,0,0,0,571,0,0,0,0,0,0,0,0,0,0,False,algorithm_risk_score,,,Not Specified,,,8da1fe21a289436881a7b0a9edb27e338caf44ab8cd048c2d1ca530334e357db,63fbeda82acd15a33b25033f2a726fd68f7cc9757f92722f7373b14e30e017b5,a3fcd82f9f6a97b0eb90d48c7aa886c780ff96f75103bdc1f7fd393acd59b282,614484f76b2b91db9c33b70a2b701506685d23a9900a23167f9b8a0970e40c15,f964754bdf39dc8f08509fa914c4dc21785cff961d3fdad18da2378ce5ecbaa4,False,False,False
app_099,Nicholas King,Nicholas,King,nicholas.king46@outlook.com,613-23-2503,10.62.62.45,Male,,10022,55000.0,61,0.17,30159,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,True,N/A - Approved,5.6,27000.0,Not Specified,,,483c5d6990ee02a7ecc1caeec9177894f7ee1f706ea06ba9c6aaf0a6708ffe1c,eb2b31d85ee60a5e14cc30e89b245c757c5e31de5cae74d8d1eb128785064414,389209c49aeb18a9767231bcff04a9fded72721081ee54e3fe588e89fb3d9b04,f24414ffaed6319a21cc482f9cf657bf4ee3d1be0350605d77dc44c7d054b4c5,843615870134e90fa31e6f57ef405e6dac190499d7fe50bafb2472df66e13a21,False,False,False
app_246,Susan Rivera,Susan,Rivera,susan.rivera74@gmail.com,176-97-1864,192.168.158.59,Female,1991-10-11,90223,82000.0,31,0.29,21809,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,True,N/A - Approved,2.8,38000.0,auto,,,56a00f922f7b87e0ba137913cd912bb90cce5e8ec27bc6cc4f800c0e07c3d346,281dad2da722d326cb6078cc9d54344fe491c6aa33212ca3fcb17ab1cc994672,a3906bd0043939eba21195b32bc888b3e2e7eb22989dc5f55e8f4552b6f3d898,86f11bfa13e006aad73287f6d5eafa75019c3d29ae0da82ad17ceca5356d2239,63f37870db195733087f1600d3e4fe40b099a750145568c0e04d392c9fee0d35,False,False,False
app_042,Joseph Lopez,Joseph,Lopez,joseph.lopez1@gmail.com,652-70-5530,192.168.91.142,Male,1990-05-04,10044,69000.0,43,0.41,15974,0,0,468,0,0,0,0,0,0,153,0,0,0,0,0,False,algorithm_risk_score,,,Not Specified,,,7ede203669e2ef7d7ee91d40c91efd674a39b4d86cc46965fa401f5427aae950,42296117c71f8cdd6b61eeac9424e27456e70221d917fc426dabf2b88fd36869,61cf0ac403ba6f8f4138abae0973ee1f9121648cc6a06e1fe70bc225bca8e1b2,d45956935b9f05fcaef1689233d7bc862935d16bf732814ddf71793ca3189bbc,9605f60206f69f6bc682d5fe03da8933b7fa935853f7a470774ab0e833fdaf97,False,False,False
app_348,Michael Mitchell,Michael,Mitchell,michael.mitchell42@hotmail.com,100-94-8400,172.28.12.121,Male,1989-10-10,10080,55000.0,5,0.41,13794,0,0,0,0,0,199,0,0,0,0,0,0,0,851,0,False,insufficient_credit_history,,,Not Specified,,,4f165c63fd9196bcee40f6be57b29eafe26ecca3bef1f2f880ebcb004a0f78ad,a46ed86938e399cddfc5a9d712e6e9cfe165dac9496028d80637f82c3707129a,36975f779e24f7607fec2203e104a76f784641c1a3b952ef013e5a4054317f33,649d04dae9707d60a997b069ccb317ce4695bba725009fe294ec4e9b761c7116,5d67576ee6183f80b3418a1cd5f3396821e3d5a026726f4a500557cea25edc0b,False,False,False
